book,chapter,word,value,sentiment
sorcerersStone,1,proud,2,TRUE
sorcerersStone,1,perfectly,3,TRUE
sorcerersStone,1,strange,-1,FALSE
sorcerersStone,1,mysterious,NA,FALSE
sorcerersStone,1,nonsense,-2,FALSE
sorcerersStone,1,finer,NA,TRUE
sorcerersStone,1,fear,-2,FALSE
sorcerersStone,1,dull,-2,FALSE
sorcerersStone,1,gray,-1,NA
sorcerersStone,1,cloudy,NA,FALSE
sorcerersStone,1,strange,-1,FALSE
sorcerersStone,1,mysterious,NA,FALSE
sorcerersStone,1,boring,-3,FALSE
sorcerersStone,1,happily,NA,TRUE
sorcerersStone,1,screaming,-2,NA
sorcerersStone,1,flutter,NA,TRUE
sorcerersStone,1,kiss,2,NA
sorcerersStone,1,missed,-2,FALSE
sorcerersStone,1,tantrum,NA,FALSE
sorcerersStone,1,peculiar,NA,FALSE
sorcerersStone,1,trick,NA,FALSE
sorcerersStone,1,shake,NA,FALSE
sorcerersStone,1,hoping,2,NA
sorcerersStone,1,jam,NA,FALSE
sorcerersStone,1,strangely,-1,FALSE
sorcerersStone,1,funny,4,FALSE
sorcerersStone,1,stupid,-2,FALSE
sorcerersStone,1,fell,NA,FALSE
sorcerersStone,1,excitedly,NA,TRUE
sorcerersStone,1,enraged,-2,FALSE
sorcerersStone,1,struck,-1,FALSE
sorcerersStone,1,silly,-1,FALSE
sorcerersStone,1,stunt,NA,FALSE
sorcerersStone,1,perfectly,3,TRUE
sorcerersStone,1,free,1,TRUE
sorcerersStone,1,forgotten,-1,NA
sorcerersStone,1,angrily,NA,FALSE
sorcerersStone,1,uneasy,-2,FALSE
sorcerersStone,1,excitedly,NA,TRUE
sorcerersStone,1,stopped,-1,NA
sorcerersStone,1,dead,-3,FALSE
sorcerersStone,1,fear,-2,FALSE
sorcerersStone,1,disturb,-2,FALSE
sorcerersStone,1,stupid,-2,FALSE
sorcerersStone,1,unusual,NA,FALSE
sorcerersStone,1,worrying,-3,FALSE
sorcerersStone,1,upset,-2,FALSE
sorcerersStone,1,blame,-2,FALSE
sorcerersStone,1,worried,-3,FALSE
sorcerersStone,1,straight,1,NA
sorcerersStone,1,stumbled,NA,FALSE
sorcerersStone,1,fell,NA,FALSE
sorcerersStone,1,upset,-2,FALSE
sorcerersStone,1,split,NA,FALSE
sorcerersStone,1,smile,2,TRUE
sorcerersStone,1,squeaky,NA,FALSE
sorcerersStone,1,dear,2,NA
sorcerersStone,1,upset,-2,FALSE
sorcerersStone,1,rejoice,4,TRUE
sorcerersStone,1,celebrating,3,NA
sorcerersStone,1,happy,3,TRUE
sorcerersStone,1,happy,3,TRUE
sorcerersStone,1,stranger,NA,FALSE
sorcerersStone,1,rattled,NA,FALSE
sorcerersStone,1,hoping,2,NA
sorcerersStone,1,approve,NA,TRUE
sorcerersStone,1,improve,2,TRUE
sorcerersStone,1,stern,NA,FALSE
sorcerersStone,1,determined,2,NA
sorcerersStone,1,nice,3,TRUE
sorcerersStone,1,unusually,NA,FALSE
sorcerersStone,1,unable,NA,FALSE
sorcerersStone,1,grin,NA,TRUE
sorcerersStone,1,mysterious,NA,FALSE
sorcerersStone,1,oddly,NA,FALSE
sorcerersStone,1,promised,1,TRUE
sorcerersStone,1,celebrating,3,NA
sorcerersStone,1,promise,1,TRUE
sorcerersStone,1,frozen,NA,FALSE
sorcerersStone,1,mysterious,NA,FALSE
sorcerersStone,1,cleared,1,TRUE
sorcerersStone,1,nervously,-2,FALSE
sorcerersStone,1,dear,2,NA
sorcerersStone,1,shocked,-2,FALSE
sorcerersStone,1,angry,-3,FALSE
sorcerersStone,1,sharply,NA,FALSE
sorcerersStone,1,funny,4,FALSE
sorcerersStone,1,funny,4,FALSE
sorcerersStone,1,nasty,-3,FALSE
sorcerersStone,1,sinking,NA,FALSE
sorcerersStone,1,agree,1,NA
sorcerersStone,1,crept,NA,FALSE
sorcerersStone,1,fell,NA,FALSE
sorcerersStone,1,comforting,2,TRUE
sorcerersStone,1,fell,NA,FALSE
sorcerersStone,1,wrong,-2,FALSE
sorcerersStone,1,uneasy,-2,FALSE
sorcerersStone,1,bright,1,TRUE
sorcerersStone,1,sparkling,3,TRUE
sorcerersStone,1,crooked,NA,FALSE
sorcerersStone,1,broken,-1,FALSE
sorcerersStone,1,unwelcome,NA,FALSE
sorcerersStone,1,amuse,3,TRUE
sorcerersStone,1,lighter,NA,TRUE
sorcerersStone,1,darkness,-1,FALSE
sorcerersStone,1,fancy,NA,TRUE
sorcerersStone,1,smile,2,TRUE
sorcerersStone,1,smiling,2,TRUE
sorcerersStone,1,severe,-2,FALSE
sorcerersStone,1,dear,2,NA
sorcerersStone,1,stiff,NA,FALSE
sorcerersStone,1,celebrating,3,NA
sorcerersStone,1,angrily,NA,FALSE
sorcerersStone,1,celebrating,3,NA
sorcerersStone,1,impatiently,NA,FALSE
sorcerersStone,1,careful,2,NA
sorcerersStone,1,dark,NA,FALSE
sorcerersStone,1,stupid,-2,FALSE
sorcerersStone,1,blame,-2,FALSE
sorcerersStone,1,precious,NA,TRUE
sorcerersStone,1,celebrate,3,TRUE
sorcerersStone,1,irritably,NA,FALSE
sorcerersStone,1,lose,NA,FALSE
sorcerersStone,1,careless,-2,FALSE
sorcerersStone,1,rumors,NA,FALSE
sorcerersStone,1,sharp,NA,TRUE
sorcerersStone,1,hoping,2,NA
sorcerersStone,1,fine,2,TRUE
sorcerersStone,1,disappeared,-1,NA
sorcerersStone,1,thankful,2,TRUE
sorcerersStone,1,care,2,NA
sorcerersStone,1,lemon,NA,FALSE
sorcerersStone,1,drop,-1,NA
sorcerersStone,1,lemon,NA,FALSE
sorcerersStone,1,drop,-1,NA
sorcerersStone,1,sweet,2,TRUE
sorcerersStone,1,fond,2,TRUE
sorcerersStone,1,coldly,NA,FALSE
sorcerersStone,1,lemon,NA,FALSE
sorcerersStone,1,dear,2,NA
sorcerersStone,1,nonsense,-2,FALSE
sorcerersStone,1,proper,NA,TRUE
sorcerersStone,1,lemon,NA,FALSE
sorcerersStone,1,confusing,-2,FALSE
sorcerersStone,1,frightened,-2,NA
sorcerersStone,1,exasperated,2,FALSE
sorcerersStone,1,admiring,3,TRUE
sorcerersStone,1,frightened,-2,NA
sorcerersStone,1,flatter,NA,TRUE
sorcerersStone,1,noble,2,TRUE
sorcerersStone,1,lucky,3,TRUE
sorcerersStone,1,dark,NA,FALSE
sorcerersStone,1,sharp,NA,TRUE
sorcerersStone,1,rumors,NA,FALSE
sorcerersStone,1,disappeared,-1,NA
sorcerersStone,1,stopped,-1,NA
sorcerersStone,1,reached,1,NA
sorcerersStone,1,anxious,-2,FALSE
sorcerersStone,1,cold,NA,FALSE
sorcerersStone,1,hard,-1,FALSE
sorcerersStone,1,true,2,NA
sorcerersStone,1,lemon,NA,FALSE
sorcerersStone,1,drop,-1,NA
sorcerersStone,1,hollow,NA,FALSE
sorcerersStone,1,rumor,NA,FALSE
sorcerersStone,1,dead,-3,FALSE
sorcerersStone,1,reached,1,NA
sorcerersStone,1,kill,-3,FALSE
sorcerersStone,1,kill,-3,FALSE
sorcerersStone,1,kill,-3,FALSE
sorcerersStone,1,broke,-1,FALSE
sorcerersStone,1,true,2,NA
sorcerersStone,1,faltered,NA,FALSE
sorcerersStone,1,killed,-3,FALSE
sorcerersStone,1,kill,-3,FALSE
sorcerersStone,1,astounding,3,TRUE
sorcerersStone,1,stop,-1,NA
sorcerersStone,1,heaven,2,TRUE
sorcerersStone,1,golden,NA,TRUE
sorcerersStone,1,odd,-2,FALSE
sorcerersStone,1,cried,-2,NA
sorcerersStone,1,screaming,-2,NA
sorcerersStone,1,famous,NA,TRUE
sorcerersStone,1,top,2,TRUE
sorcerersStone,1,famous,NA,TRUE
sorcerersStone,1,famous,NA,TRUE
sorcerersStone,1,growing,1,NA
sorcerersStone,1,ready,NA,TRUE
sorcerersStone,1,hiding,-1,NA
sorcerersStone,1,wise,NA,TRUE
sorcerersStone,1,trust,1,TRUE
sorcerersStone,1,trust,1,TRUE
sorcerersStone,1,grudgingly,NA,FALSE
sorcerersStone,1,pretend,-1,FALSE
sorcerersStone,1,careless,-2,FALSE
sorcerersStone,1,rumbling,NA,FALSE
sorcerersStone,1,broken,-1,FALSE
sorcerersStone,1,louder,NA,FALSE
sorcerersStone,1,swelled,NA,FALSE
sorcerersStone,1,huge,1,NA
sorcerersStone,1,fell,NA,FALSE
sorcerersStone,1,huge,1,NA
sorcerersStone,1,wild,NA,FALSE
sorcerersStone,1,tangles,NA,FALSE
sorcerersStone,1,hid,-1,NA
sorcerersStone,1,trash,NA,FALSE
sorcerersStone,1,relieved,2,NA
sorcerersStone,1,carefully,2,NA
sorcerersStone,1,destroyed,-3,NA
sorcerersStone,1,fell,NA,FALSE
sorcerersStone,1,bent,NA,FALSE
sorcerersStone,1,fast,NA,TRUE
sorcerersStone,1,cut,-1,NA
sorcerersStone,1,scar,NA,FALSE
sorcerersStone,1,scars,NA,FALSE
sorcerersStone,1,handy,NA,TRUE
sorcerersStone,1,perfect,3,TRUE
sorcerersStone,1,bent,NA,FALSE
sorcerersStone,1,scratchy,NA,FALSE
sorcerersStone,1,kiss,2,NA
sorcerersStone,1,hissed,NA,FALSE
sorcerersStone,1,dead,-3,FALSE
sorcerersStone,1,poor,-2,FALSE
sorcerersStone,1,sad,-2,FALSE
sorcerersStone,1,furiously,NA,FALSE
sorcerersStone,1,join,1,NA
sorcerersStone,1,yeah,1,NA
sorcerersStone,1,stopped,-1,NA
sorcerersStone,1,luck,3,TRUE
sorcerersStone,1,breeze,NA,TRUE
sorcerersStone,1,neat,NA,TRUE
sorcerersStone,1,silent,NA,TRUE
sorcerersStone,1,tidy,NA,TRUE
sorcerersStone,1,astonishing,NA,TRUE
sorcerersStone,1,famous,NA,TRUE
sorcerersStone,1,scream,-2,FALSE
sorcerersStone,2,tidy,NA,TRUE
sorcerersStone,2,crept,NA,FALSE
sorcerersStone,2,fateful,NA,FALSE
sorcerersStone,2,fair,2,TRUE
sorcerersStone,2,shrill,NA,FALSE
sorcerersStone,2,noise,NA,FALSE
sorcerersStone,2,pan,NA,FALSE
sorcerersStone,2,dream,1,NA
sorcerersStone,2,funny,4,FALSE
sorcerersStone,2,feeling,1,NA
sorcerersStone,2,dream,1,NA
sorcerersStone,2,demanded,-1,NA
sorcerersStone,2,burn,NA,FALSE
sorcerersStone,2,perfect,3,TRUE
sorcerersStone,2,forgotten,-1,NA
sorcerersStone,2,slowly,NA,FALSE
sorcerersStone,2,mystery,NA,FALSE
sorcerersStone,2,fat,NA,FALSE
sorcerersStone,2,hated,-3,FALSE
sorcerersStone,2,favorite,2,TRUE
sorcerersStone,2,fast,NA,TRUE
sorcerersStone,2,dark,NA,FALSE
sorcerersStone,2,skinny,NA,FALSE
sorcerersStone,2,bright,1,TRUE
sorcerersStone,2,scar,NA,FALSE
sorcerersStone,2,crash,-2,FALSE
sorcerersStone,2,died,-3,FALSE
sorcerersStone,2,quiet,NA,TRUE
sorcerersStone,2,greeting,1,NA
sorcerersStone,2,top,2,TRUE
sorcerersStone,2,smoothly,NA,TRUE
sorcerersStone,2,fat,NA,FALSE
sorcerersStone,2,angel,NA,TRUE
sorcerersStone,2,pig,NA,FALSE
sorcerersStone,2,difficult,-1,FALSE
sorcerersStone,2,fell,NA,FALSE
sorcerersStone,2,darling,NA,TRUE
sorcerersStone,2,huge,1,NA
sorcerersStone,2,tantrum,NA,FALSE
sorcerersStone,2,fast,NA,TRUE
sorcerersStone,2,danger,-2,FALSE
sorcerersStone,2,hard,-1,FALSE
sorcerersStone,2,slowly,NA,FALSE
sorcerersStone,2,worth,2,TRUE
sorcerersStone,2,gold,NA,TRUE
sorcerersStone,2,angry,-3,FALSE
sorcerersStone,2,worried,-3,FALSE
sorcerersStone,2,bad,-3,FALSE
sorcerersStone,2,broken,-1,FALSE
sorcerersStone,2,fell,NA,FALSE
sorcerersStone,2,adventure,2,NA
sorcerersStone,2,mad,-3,FALSE
sorcerersStone,2,hated,-3,FALSE
sorcerersStone,2,smelled,NA,FALSE
sorcerersStone,2,furiously,NA,FALSE
sorcerersStone,2,broken,-1,FALSE
sorcerersStone,2,easy,1,TRUE
sorcerersStone,2,silly,-1,FALSE
sorcerersStone,2,hates,-3,FALSE
sorcerersStone,2,nasty,-3,FALSE
sorcerersStone,2,slug,NA,FALSE
sorcerersStone,2,leave,-1,NA
sorcerersStone,2,lemon,NA,FALSE
sorcerersStone,2,ruins,-2,FALSE
sorcerersStone,2,blow,NA,FALSE
sorcerersStone,2,slowly,NA,FALSE
sorcerersStone,2,leave,-1,NA
sorcerersStone,2,cry,-1,FALSE
sorcerersStone,2,crying,-2,NA
sorcerersStone,2,cried,-2,NA
sorcerersStone,2,screwed,-2,FALSE
sorcerersStone,2,dinky,NA,FALSE
sorcerersStone,2,cry,-1,FALSE
sorcerersStone,2,spoil,NA,FALSE
sorcerersStone,2,cried,-2,NA
sorcerersStone,2,huge,1,NA
sorcerersStone,2,pretend,-1,FALSE
sorcerersStone,2,spoils,NA,FALSE
sorcerersStone,2,nasty,-3,FALSE
sorcerersStone,2,grin,NA,TRUE
sorcerersStone,2,frantically,NA,FALSE
sorcerersStone,2,stopped,-1,NA
sorcerersStone,2,pretending,-1,NA
sorcerersStone,2,cry,-1,FALSE
sorcerersStone,2,luck,3,TRUE
sorcerersStone,2,warning,-3,FALSE
sorcerersStone,2,warning,-3,FALSE
sorcerersStone,2,funny,4,FALSE
sorcerersStone,2,strange,-1,FALSE
sorcerersStone,2,tired,-2,FALSE
sorcerersStone,2,cut,-1,NA
sorcerersStone,2,hide,-1,NA
sorcerersStone,2,horrible,-3,FALSE
sorcerersStone,2,scar,NA,FALSE
sorcerersStone,2,laughed,1,NA
sorcerersStone,2,silly,-1,FALSE
sorcerersStone,2,laughed,1,NA
sorcerersStone,2,revolting,NA,FALSE
sorcerersStone,2,puppet,NA,FALSE
sorcerersStone,2,fit,1,NA
sorcerersStone,2,relief,NA,TRUE
sorcerersStone,2,punished,-2,NA
sorcerersStone,2,terrible,-3,FALSE
sorcerersStone,2,trouble,-2,FALSE
sorcerersStone,2,angry,-3,FALSE
sorcerersStone,2,trash,NA,FALSE
sorcerersStone,2,wrong,-2,FALSE
sorcerersStone,2,worth,2,TRUE
sorcerersStone,2,smelling,NA,FALSE
sorcerersStone,2,complained,-2,FALSE
sorcerersStone,2,complain,-2,FALSE
sorcerersStone,2,favorite,2,TRUE
sorcerersStone,2,overtook,NA,TRUE
sorcerersStone,2,dream,1,NA
sorcerersStone,2,crashed,NA,FALSE
sorcerersStone,2,dream,1,NA
sorcerersStone,2,hated,-3,FALSE
sorcerersStone,2,matter,1,NA
sorcerersStone,2,dream,1,NA
sorcerersStone,2,dangerous,NA,FALSE
sorcerersStone,2,crowded,NA,FALSE
sorcerersStone,2,smiling,2,TRUE
sorcerersStone,2,cheap,NA,FALSE
sorcerersStone,2,lemon,NA,FALSE
sorcerersStone,2,bad,-3,FALSE
sorcerersStone,2,remarkably,NA,TRUE
sorcerersStone,2,careful,2,NA
sorcerersStone,2,bored,-2,FALSE
sorcerersStone,2,fall,NA,FALSE
sorcerersStone,2,favorite,2,TRUE
